"單元小節","主題","小故事","練習題1","答案1","練習題2","答案2","練習題3","答案3","練習題4","答案4","練習題5","答案5","知識點"
"4-1","多位小數乘以整數 ","皮皮和丹丹到動物園參觀，皮皮在紀念品店看到一支長2.54公分的小鉛筆。他想買12支送給班上的同學。丹丹說：「我們可以先用整數算，再移動小數點，就可以知道總長度了！」 於是他們一起計算：2.54 × 12，發現買12支鉛筆總長大約是30.48公分。 皮皮開心地說：「這樣每個同學都可以拿到一支可愛的小鉛筆了！」","0.45 × 7 等於多少？",3.15,"2.308 × 5 等於多少？",11.54,"4.025 × 6 等於多少？",24.15,"3.306 × 20 等於多少？",66.12,"7.245 × 4 等於多少？",28.98,"小數在生活中的運用，認識坪、平方公尺等單位，初步提及小數計算。小數乘以整數的筆算方法：先當整數算，最後調整小數點位置。小數乘以整數的筆算示範、移動小數點的規則，練習題示範。小數乘以10、100、1000時的小數點位移規則。"
"4-2","整數乘以小數 ","在果園裡，小樂幫忙採收柳橙。每一籃柳橙汁可榨出5公升的柳橙汁。小樂一會兒榨了0.1籃的柳橙、又榨了0.7籃、最後又榨了2.7籃。小樂興奮地計算總共榨出了多少公升的柳橙汁，並且想著：「如果把榨出的柳橙汁賣給市場，該可以賺多少錢呢？」","一桶牛奶的容量是6公升，榨了0.8桶牛奶，請問總共榨出多少公升的牛奶？列式：6 × 0.8 = （ ） ","4.8公升","小明的體重是45公斤，爸爸的體重是小明的2.3倍，請問爸爸的體重是多少公斤？列式：45 × 2.3 = （ ） ",103.5,"一包米重3公斤，媽媽買了1.6包米，請問總重量是多少公斤？列式：3 × 1.6 = （ ） ","4.8公斤","一條布長8公尺，0.25條布長多少公尺？列式：8 × 0.25 = （ ） ","2公尺","一輛卡車可以載重200公斤，如果只裝載了0.15的容量，請問裝載了多少公斤？列式：200 × 0.15 = （ ） ","30公斤","理解整數乘以小數（十分位數小數）的方法。整數乘以一位小數或一位小數的小數乘法計算。整數乘以二位數、三位數小數的方法。小數乘整數，並理解位值移動的技巧。"
"4-3","小數乘以小數 ","水管修理隊的大任務：小明參加了學校的「水管修理隊」，今天他們要計算學校地下管線總重量。每一條水管重0.1公斤，小明發現有時要算2條、0.1條，甚至0.01條水管的重量。他們還要鋪設地墊，長0.5公尺、寬0.3公尺的小地墊，需要計算面積。還有，校園裡的花圃長4.5公尺、寬1.9公尺，也要計算面積7。小明運用小數乘以小數的乘法技巧，精準地完成了所有任務，獲得全校表揚！","一條水管重0.1公斤，5條水管共重多少公斤？","0.5公斤","0.2條水管重多少公斤？ ","0.02公斤","一個長0.6公尺、寬0.4公尺的小地墊，面積是多少平方公尺？ ","0.24平方公尺","一塊花圃長2.5公尺、寬1.2公尺，面積是多少平方公尺？ ","3平方公尺","大瓶果汁是1.8公升，小瓶果汁是大瓶的0.5倍，小瓶果汁是多少公升？ ","0.9公升","小數乘以小數，特別是0.1、0.01這種分數觀念的轉換與計算。小數乘以小數求長方形面積。 小數乘以小數的倍數關係 。 觀察乘數、被乘數與積的關係，比較大小。 小數直式乘法與整數乘法的推論關係。"
"4-4","小數、整數除以整數 ","小強家要分裝砂糖。他們有一大袋0.6公斤的砂糖，要平均分成3袋。每個人負責一袋，但小明不小心把其中一袋的重量記成0.2公斤，小強仔細核對後發現：0.6 ÷ 3 = 0.2，小明其實記得對！ 隔天，媽媽準備了0.45公升的檸檬汁，要裝成5杯，每杯可以喝多少？小強用除法很快算出來：0.45 ÷ 5 = 0.09公升。 從此以後，小強成為班上最會做「小數除法」的人，幫助大家一起解決很多生活中的分配問題！","一塊奶酪重 0.8 公斤，平均分成 2份，每份是多少公斤？ ","0.4公斤","把 2.4 公尺的緞帶分成 8段，每段是幾公尺？ ","0.3公尺","小明有 9.6公斤的米，要裝進 4個袋子，每袋是多少公斤？ ","2.4公斤","一條長 6公尺的布，分成 5份，每份約是多少公尺？（四捨五入到小數點第二位） ","1.20公尺","把 3.2 公升的果汁，平均裝進 5瓶，每瓶約多少公升？（四捨五入到小數點第二位） ","0.64公升","小數除以整數，直式計算方法（一位小數、二位小數）。小數除以整數，直式計算應用題（重量、長度問題）。小數除以整數，時間轉換（分鐘轉小時），以及小數表示法。小數除以整數時遇到除不盡、取至小數點第二位的處理（四捨五入）。小數除以10、100的規律觀察（小數點位移規則）。"
"5-1","認識公噸 ","【大卡車的任務】 有一天，學校旁邊的工地要運送一批重物，總重量是4.5公噸。小偉看到一台大型小貨車，標示最大載重是1.5公噸，他好奇地問爸爸：「要用幾台小貨車才能搬完這批貨物呢？」 爸爸笑著說：「4.5 ÷ 1.5 = 3，所以要三台小貨車，才能搬完喔！」 小偉第一次知道，「公噸」這麼大，原來一公噸有1000公斤！","一台吊車的重量是2.5公噸，兩台吊車總重多少公噸？","5.0公噸","一輛卡車載重0.75公噸，4輛卡車共載重多少公噸？ ","3.0公噸","一頭非洲象重4.935公噸，兩頭非洲象共重多少公噸？ ","9.87公噸","1800公斤是幾公噸？ ","1.8公噸","一隻藍鯨的體重大約14600公斤，約多少公噸？","14.6公噸","認識面積和重量中的大數字概念。 延伸說明巨大單位的認識，引出重量的估算與推論。 介紹1公噸＝1000公斤，並進行小數、公噸的轉換與簡單應用。 學習選擇正確的重量單位（公斤、公噸）。 訓練將千位、萬位數字換算成公噸、千公斤。"
"5-2","認識公畝、公頃和平方公里 ","【小兔和小熊的大冒險】  小兔和小熊參加了森林村的地圖挑戰賽。比賽規定：  找出一片面積正好是 1公頃 的草地。  找出一片面積是 0.25平方公里 的森林。  計算森林村最大的草原（面積為 4公頃）是幾平方公尺。  小兔說：「1公頃是100公尺乘100公尺，就是一萬平方公尺！」 小熊說：「0.25平方公里是250000平方公尺，因為1平方公里是100萬平方公尺！」 他們合作完成了所有挑戰，還發現森林村最大的草原有40000平方公尺！ 小兔和小熊開心地拿到了地圖達人獎！","一片牧場的面積是2.5公頃，這片牧場的面積是幾平方公尺？ ","25000平方公尺","一座森林的面積是1.2平方公里，換算成公頃是多少？ ","120公頃","一個運動場的面積是0.4公頃，是多少平方公尺？ ","4000平方公尺","一座農場面積是36000平方公尺，是多少平方公里？ ","0.036平方公里","一片農地面積是8公頃，是多少平方公里？ ","0.08平方公里","1公畝=100平方公尺；1平方公尺=0.01公畝。面積換算：公畝與平方公尺之間的關係。公頃與平方公尺、公畝關係。公頃與平方公尺單位轉換。平方公里與平方公尺、公頃關係。加深理解平方公里、平方公尺換算。整理平方公里、公頃、公畝、平方公尺的對應關係。公頃轉換成平方公尺和平方面積換算。公頃轉換成平方公里。平方公尺轉換成公頃。場地面積選擇適合單位（公頃、公畝、平方公尺）。公頃與平方公尺轉換應用實例。"
"6-1","時間的乘法 ","【祥祥的餅乾工廠】 祥祥在餅乾工廠參觀時，看到自動化包裝機正快速運作。他驚訝地問導覽員：「一袋餅乾裝好只要18秒耶，那如果要裝144袋呢？」 導覽員笑著說：「那就用乘法算囉，18秒乘144袋，總共需要2592秒。」 祥祥快速心算：「那是43分12秒耶！」 接著，他又問：「那麼，如果爸爸上週參加手工烘焙課，一堂課是2小時25分鐘，上了8堂課，總共上了多少時間？」 祥祥拿出紙筆，不一會兒就說出：「等於19小時20分鐘！」 爸爸聽了點頭：「你真是我們家的時間小博士！」","一袋餅乾需時 18 秒，裝 144 袋需要幾秒？幾分幾秒？","2592秒；43分12秒 ","一堂課是 2 小時 25 分鐘，上 8 堂課共上多少時間？ ","19 小時 20 分鐘 ","月球繞地球一圈需 29 天 12 小時，繞 3 圈共需多久？ ","88 天 12 小時 ","1 次任務需 205 秒，完成 4 次共幾分鐘幾秒？ ","13 分 40 秒 ","福爾摩沙衛星一圈 96 分 41 秒，繞 5 圈需多少時間？ ","8 小時 3 分 25 秒 ","單位換算（時 → 分 → 秒）、時間乘法應用。日常情境中時間計算、等量關係應用。時間單位乘法計算（時分、分秒混合單位計算）。複合單位（天、時、分、秒）乘法應用與換算。"
"6-2","時間的除法 ","【阿哲的機器人時光任務】  阿哲參加學校的創客比賽，設計了一台自動送餐機器人。機器人每次充電後可以運作 1小時40分，而送一趟餐要花 8分30秒。阿哲想知道，機器人在一次充電後最多可以送幾趟餐？他開始計算：  「1小時40分等於100分鐘，100分鐘除以8.5分鐘，答案大約是11趟！」 阿哲興奮地寫下答案，準備修改程式讓機器人每次充電都發揮最大效率！  ","一首歌曲長 3分20秒，如果播放10分鐘，最多可以播幾次？ ","3次","打掃機器人充飽電後可運作 8時30分，打掃一次要花 1時40分，最多可以打掃幾次？ ","5次","自動製餅機每 30分鐘可烤 1 個蛋糕，最多烤出 50 個蛋糕需要多久？ ","25小時","氣象衛星繞地球一圈需 18小時，7天內最多可以繞幾圈？ ","9圈","工廠的機器每 5 小時可生產一箱產品，13日16小時最多可以生產幾箱？ ","65箱","時間單位的換算（分、秒）與除法應用。時間相減與除法計算的綜合應用。將日、時、分混合單位轉換並除法應用。"
"6-3","時間的應用 ","以3D列印機製作紀念品的效率變化為背景，設計出生活化情境，幫助學生理解時間乘除的應用方式，例如：「現在的列印機可以在相同時間內列印更多物品，那過去與現在一個印章所需時間差多少？」","舊列印機6個印章需10時30分，今可列印70個，1個印章的時間差多少？","差9分","1場活動1時20分，共5場，13時開始，結束是幾點幾分？
","17時40分","鬼屋10時40分到14時，每50分入100人，共幾人入場？ ","400人","電影院11時20分播第1場，每場2時，休息20分，第5場播出時間？ ","19時40分","2台機9日可產1800盒，改3台同時作業，需要幾日？ ","6日","時間的應用（列印機效率與時間差的計算）。使用時間軸解題，計算活動總時長與參與人數。合併場次時間與休息時間，進行時間累加的應用計算。工程問題（改變機器數量與工作天數），屬於「反向比例」概念。"
"7-1","認識容積 ","【水塔與寶特瓶的秘密】  皮皮在院子裡看著水塔發呆，他問媽媽：「台灣水資源這麼珍貴，為什麼我們水費好便宜？」  媽媽微笑著說：「你知道嗎？一度水是1000公升，差不多能裝1000個寶特瓶！所以雖然水源珍貴，但台灣水價全球偏低。」  皮皮驚訝地張大嘴：「哇，那水塔裡一定能裝超多寶特瓶耶！」於是，他們開始用紙箱和寶特瓶模擬容器的內部空間，學會了什麼是「容積」。","一個長方體箱子的內部長為 4 公尺、寬為 3 公尺、高為 2 公尺，這個箱子的容積是多少立方公尺？ ","24立方公尺","如果一個容器可以裝下 27 個 1 立方公分的積木，那這個容器的容積是多少立方公分？ ","27立方公分","皮皮爸爸公司租用貨櫃運貨，貨櫃內部長為 6 公尺，寬為 2.5 公尺，高為 2 公尺，容積是多少立方公尺？ ","30立方公尺","住在國外的阿姨蓋了一個儲藏室，內部尺寸為：長 2 公尺，寬 3.2 公尺，高 3 公尺，容積是多少？ ","19.2立方公尺","一個長方體箱子外部尺寸為長 12 公分、寬 9 公分、高 10 公分，板材厚度為 1 公分，問內部容積為多少立方公分？ ","560立方公分","「1度水 = 1000公升」與生活中常見容器的對應關係。容積的定義：容器內部可容納的最大空間。容器之間的比較方式：使用同樣積木或單位立方體裝入判斷空間大小。規則容器的容積＝長 × 寬 × 高。實際應用容積：貨櫃、儲藏室、展示櫃。外部尺寸與內部尺寸的差異（包含有蓋容器、厚度的概念）。"
"7-2","容積與容量的關係 ","【餅乾罐的容量祕密 】  皮皮打開櫃子，拿出兩個餅乾罐，一個裝滿餅乾，一個空空的。他問媽媽：「這兩個罐子一樣高，為什麼看起來一個比較大？」 媽媽說：「我們可以用量杯測量這些罐子的容量。」他們用1公升的水倒入空罐，發現裝滿剛好是1000毫升。 「原來容量就是裝水的空間啊！」皮皮開心地說：「那容積也是一樣嗎？」 媽媽點點頭：「沒錯，1公升就是1000立方公分。只要知道容器內部長、寬、高，就可以算出它的容積，也能換算成容量。」","一個長方體容器，內部長25公分、寬10公分、高20公分。它的容積與容量各是多少？ ","容積 = 25 × 10 × 20 = 5000 立方公分；容量 = 5000 ÷ 1000 = 5公升 ","皮皮家的水費帳單上寫著用水「53度」，請問他這期共用了多少立方公尺與公升的水？ ","53000公升","一個正立方體水箱，邊長為1公尺，可裝滿多少公升的水？ ","1000公升","將3200公分³的水倒入一個長方體容器（長20公分、寬10公分、高40公分），水面高度是多少？ ","16公分","有一個容器，外部長22公分、寬24公分、高26公分，厚度為1公分，裡面裝6公升水。內部長、寬、高各是多少？ ","長 = 22 - 2 = 20(公分)，寬 = 24 - 2 = 22(公分)，高 = 26 - 2 = 24(公分)","容積的單位為立方公分（cm³），容量的單位為公升（L）；1L = 1000 cm³。立方公尺（m³）= 1000公升，水表的「度」就是立方公尺。運用容積與容量的換算，可推算容器內水位高度或剩餘空間容量。"
"7-3","不規則物體的體積 ","【丹丹的水族箱挑戰 】 丹丹家新買了一個大型水族箱，她打算幫爸爸測量幾顆裝飾石頭的體積。但這些石頭形狀不規則，又不能用尺量，該怎麼辦呢？  她想到課本教的：用水量變化來測量體積！  於是她先倒入500毫升水，然後放入一顆石頭，水位上升到570毫升。她開心地說：「這顆石頭的體積是70立方公分！」  後來，她還用不同的方式驗證──先把水裝到容器滿出來，再放入石頭，再量溢出來的水量，發現也差不多！她成功解出爸爸的問題，也更懂得體積的意義了！","一個量筒原本有 250 毫升水，將一顆小石頭放入後，水面升到 310 毫升。請問這顆石頭的體積是多少立方公分？ ","60立方公分","水族箱內部長 20 公分、寬 15 公分，高 25 公分，水面原本高 15 公分。放入裝飾品後，水面變為 16 公分。請問裝飾品體積是多少立方公分？ ","300立方公分","丹丹放入一顆圓球後，水位從 800 毫升變成 950 毫升。這顆圓球的體積是多少立方公分？ ","150立方公分","姐姐的正方體魚缸邊長為 20 公分，放入水草後水深從 18 公分變成 13 公分，請問水草體積是多少立方公分？ ","1000立方公分","量筒中水面為 700 毫升，放入一顆球後升到 820 毫升，再取出球，水面變成幾毫升？ ","700毫升","利用水位上升法測量不規則物體體積，適用於水不溢出的量筒、容器。學習溢出法測體積：用杯子裝水至滿，放入物體觀察溢出水量 = 體積。利用魚缸內部尺寸 × 水面升高高度，求體積變化（公式：長×寬×高）。透過不同容器內水位變化，推理相同升高量在不同底面積下代表不同體積。綜合應用題與實際生活場景中的不規則體積計算（石頭、裝飾品等）。"
"8-1","認識比率 ","【皮皮的健康任務】健康檢查日到了，皮皮發現班上很多同學蛀牙了，他想知道到底哪一班蛀牙情況最嚴重。老師展示了三個班級的檢查結果，皮皮學會了「比率」這個神奇的數學工具，能幫助他比較不同班級的狀況。不只是牙齒，他還用比率算出自己體重和血量的比例，還推算出媽媽體重的祕密！原來數學真的可以幫助我們更了解自己和生活呢！","某班有 30 位學生，其中有 6 位參加合唱團。請問參加合唱團的學生占全班的比率是多少？ ","6/30 或 1/5","花園裡種了 10 朵紅花和 5 朵白花，紅花與白花的比率是多少？ ","10:5 或 2:1","一班男生有 12 人，女生有 16 人，男生與全班人數的比率是多少？ ","12/28 或 3/7 ","籃球隊有 15 人，前鋒有 5 人。前鋒占全隊的比率是多少？ ","5/15 或 1/3 ","小朋友家中有紅球 9 顆、藍球 6 顆，請問紅球占所有球的比率是多少？ ","9/15 或 3/5 ","比率可以幫助我們描述「某部分」占「整體」多少。學習比率的基本概念：比率 = 部分 ÷ 全部。用分數表示比率的概念，會化簡比率 。"
"8-2","認識百分率 ","【果汁百分率大比拼 】皮皮和哥哥去便利商店買果汁，哥哥拿了一瓶寫著「11%果汁」，皮皮拿了一瓶「100%果汁」的瓶裝飲品。哥哥說：「這瓶比較便宜耶，看起來也很好喝！」皮皮看了看說：「可是100%果汁才是真的果汁做的呀！」店員聽見後笑著解釋：「你們可以看看標籤，百分率就是說每100毫升裡面含有多少果汁哦。」最後，他們決定還是買一瓶100%果汁一起分享，補充真正的營養。","下列哪一種果汁含果汁最多？ A. 標示為 10% 果汁  B. 標示為 48% 果汁  C. 標示為 100% 果汁","C","學校有30人參加排球選拔，其中18人入選，入選率為多少％？ ","60%","某果汁標示果汁含量為48%，若一瓶容量為500mL，請問果汁含量為多少mL？ ","240ml","0.25 表示多少百分率？ ","25%","若5/8的學生喜歡喝柳橙汁，請問這代表幾％的學生？ ","62.5%","百分率的概念：是以100為基準的表示方式。將分數、數字或小數轉換為百分率。  「入選率」、「淘汰率」等實際應用的百分率問題。  小數與百分率的對應關係（例如 0.125 = 12.5%）。"
"8-3","百分率的應用 ","【皮皮家族週末購物日  】 皮皮家族計畫週末大採購。爸爸本月薪水 56000 元，打算花 20% 來購買新餐桌。媽媽看到百貨公司女裝寫著「8 折」和鞋店「75 折」的折扣，還有運動用品標著「30% off」的廣告。丹丹在旁邊算： 「這等於餐桌要花11200元，女裝原價 3000 元變成 2400 元，鞋子原價1600元打75折後是1200元！30%off的運動用品也是便宜不少耶！」 皮皮補充：「我還能算出，我買鞋省了幾元，再算出折扣的百分率！」  ","爸爸本月薪水為 56000 元，餐費佔 20%。 問：餐費多少元？剩下多少元？","餐費：56000 × 20% = 11200 元 。剩下：56000 - 11200 = 44800元","丹丹參加國語筆試，共 120 題，答對率 95%。 問：答對幾題？","114 題 ","皮皮錯 12 題，問答對率為多少（百分率）？ ","90%","原價：女鞋 1600 元，打 75 折，問售價？ 原價：洋裝 3000 元，打 8 折，問售價？","女鞋：1200元。洋裝：2400元","丹丹家每月收入為 10 萬元，5 月支出餐飲 20000、教育 15000、房貸 25000、車貸 15000，其餘存起來。 問：（1）餐費佔收入百分之多少？（2）總共支出多少？（3）5月共存多少元？","餐費佔比：20%。總支出：75000 元。儲蓄：25000 元","求百分率與從百分率反推部分量。折扣與百分率、折扣價計算。折扣與省下金額的換算、折扣價算法。從總量與部分量算百分比，求儲蓄金額。分數轉百分率、百分率應用實作題。"
